Responsible Company,Latitude,Longitude,State,Water Reached?,Total
SEATTLE FIRE DEPT DISPATCH CENTER,47.63299936,-122.3804942, WA,Yes,0
SEBERT LANDSCAPING,41.738616,-88.008228, IL,Yes,0
SHAW AIRFORCE BASE,33.97295145,-80.4788698, SC,No,0
SHELL,33.45708398,-86.88277083, AL,Yes,0
SHERWIN WILLIAMS,34.15142852,-83.95703484, GA,Yes,0
SIGNATURE FLIGHTS,41.93905202,-72.69581155, CT,Yes,0
SIKORSKY AIRCRAFT,41.25024,-73.096803, CT,Yes,0
SIKORSKY SUPPORT SERVICES,41.25024,-73.096803, CT,Yes,0
SOUTH PARK MARINA,47.52695471,-122.3132525, WA,Yes,0
SOUTHWEST AIRLINES,32.817935,-96.834355, TX,Yes,0
SOUTHWEST AIRLINES,33.43443286,-111.98875, AZ,Yes,0
SPANOS CORP.,39.42647309,-119.7567047, NV,Yes,0
ST. PAUL PARK REFINING CO.,44.85297124,-92.99653919, MN,Yes,0
STATION CAPE CANAVERAL,28.415574,-80.61997803, FL,Yes,0
STERICYCLE,40.30504436,-75.27907518, PA,Yes,0
STONEWAY ROOFING SUPPLY,47.432385,-122.2140285, WA,Yes,0
SUGAR CAMP COAL MINE,37.99166667,-88, IL,Yes,0
SUGAR CAMP MINING COMPLEX,38.03407367,-88.76102136, IL,Yes,0
SUN OIL CO,40.48562849,-79.94513001, PA,Yes,0
SUNOCO EAGLE POINT OIL REFINERY,39.860406,-75.1535685, NJ,Yes,0
SUNOCO EAGLE POINT REFINERY,39.860406,-75.1535685, NJ,Yes,0
SUNOCO LOGISTICS,39.87446921,-75.12658119, NJ,Yes,0
SYNDER INTERNATIONAL,(blank),(blank), AZ,No,0
TIDEWATER MARINE,(blank),(blank), LA,Yes,0
TITAN MARINE,32.71568,-117.16171, CA,Yes,0
TOSCO NORTHWEST CO,48.829167,-122.699394, WA,Yes,0
TOTAL ENERGIES,30.21435,-91.09507, LA,Yes,0
TOTAL RECLAIM,47.58399848,-122.325327, WA,No,0
TRIDENT SEAFOOD,54.13445,-165.77351, AK,Yes,0
TRUCKING COMPANY,31.11067074,-97.68344989, TX,Yes,0
TUCSON FIRE DEPARTMENT,32.21387207,-110.909723, AZ,No,0
TUSKEGEE,(blank),(blank), VA,Yes,0
TWOMEY WELCH,30.207905,-97.665195, TX,No,0
TYCO FIRE PROTECTION PRODUCTS,45.09713674,-87.61403068, WI,Yes,0
TYNDALL AIR FORCE BASE,30.06623708,-85.59628402, FL,No,0
U. S. NAVAL AIR STATION OCEANA FIRE DEPT,36.814455,-76.022334, VA,Yes,0
U.S. COAST GUARD CUTTER HEALEY,47.58894251,-122.3381377, WA,Yes,0
U.S. COAST GUARD YARD,39.46666667,-77.01666667, MD,Yes,0
U.S. NAVAL AIR STATION,30.23136398,-81.69913985, FL,Yes,0
U.S. NAVY,36.90995895,-76.1401038, VA,Yes,0
U.S. NAVY,36.92253885,-76.32289383, VA,Yes,0
U.S. NAVY USS BATAAN LHD5,36.91630348,-76.25432665, VA,Yes,0
U.S. POWERGEN,40.78554637,-73.91443158, NY,Yes,0
U.S.S. JOHN F. KENNEDY,36.84686,-76.28514, VA,Yes,0
UNITED AIRLINES,38.9722275,-77.4495647, VA,Unknown,0
UNITED ILLUMINATING,41.1675863,-73.18369028, CT,Yes,0
UNITED PARCEL SERVICE,34.3102,-118.45308, CA,Yes,0
UNITED STATES COAST GUARD STATION,36.83127511,-76.34404197, VA,Yes,0
UNITED STATES MARINE CORPS,32.8835,-117.13109, CA,Yes,0
UNITED STATES NAVY,32.38333333,-79.65, SC,Yes,0
UNITED STATES NAVY,33.23003378,-117.3247375, CA,Yes,0
UNITED STATES NAVY,45.65289,-122.76482, OR,Yes,0
UNOCAL,60.729475,-151.30369, AK,No,0
UNS-NASNI,37.9009,-122.3204, CA,Yes,0
US AIR FORCE,30.42755794,-86.69556746, FL,Yes,0
US AIR FORCE,39.102685,-121.33611, CA,No,0
US AIR FORCE,39.102685,-121.33611,,Yes,0
US AIR FORCE,39.12642111,-121.3843505, CA,No,0
US AIR FORCE,61.22966,-149.77843, AK,No,0
US AIR FORCE,61.24414713,-149.7785487, AK,Yes,0
US AIR FORCE,(blank),(blank), FL,Yes,0
US AIR FORCE FIRE DEPT,(blank),(blank), AK,Yes,0
US AIR FORCE- JBER,61.243415,-149.814575, AK,No,0
US AIRWAYS,39.87335541,-75.26246686, PA,Yes,0
US ARMY,47.13929313,-122.5058185, WA,No,0
US ARMY FORT CAMPBELL,36.628524,-87.4563705, TN,Yes,0
US ARMY GARRISON FORT BELVOIR,38.71459948,-77.17963194, VA,Yes,0
US COAST GUARD,44.75999,-85.61584, MI,Yes,0
US MARINE (HMM774MAG42DETB),(blank),(blank), VA,No,0
US NAVAL BASE VENTURA COUNTY,34.1163305,-119.1013751, CA,No,0
US NAVAL BASE VENTURA COUNTY,34.13638,-119.10134, CA,No,0
US NAVY,30.46861111,-80.90527778, FL,Yes,0
US NAVY,32.08091,-81.09119, GA,Yes,0
US NAVY,32.681661,-117.120269, CA,Yes,0
US NAVY,32.697838,-117.204384, CA,Yes,0
US NAVY,32.71568,-117.16171, CA,Yes,0
US NAVY,32.75559,-117.21154, CA,Yes,0
US NAVY,32.79761648,-117.2038254, CA,Yes,0
US NAVY,36.21611111,-117.34, CA,No,0
US NAVY,36.830385,-76.264895, VA,Yes,0
US NAVY,36.83241,-76.28513, VA,Yes,0
US NAVY,36.84686,-76.28514, VA,No,0
US NAVY,36.84686,-76.28514,,Yes,0
US NAVY,39.88937541,-75.17576302, PA,Yes,0
US NAVY - USS GERMANTOWN,32.68474841,-117.1303926, CA,Yes,0
US NAVY - USS STETHEM,32.95,-118.6333333, CA,Yes,0
US NAVY FIRE DISPATCH,36.84686,-76.28514, VA,Yes,0
US NAVY FIRE DISPATCH,36.94476281,-76.29361897, VA,No,0
US NAVY LITTLE CREEK,36.84686,-76.28514, VA,Yes,0
US NAVY- NB CORONADO,32.70361111,-117.1961111, CA,No,0
US POWER GEN,40.786686,-73.9142955, NY,Yes,0
US STEEL,40.29399947,-79.87460018, PA,Yes,0
US. AIR FOCE,(blank),(blank), OH,Yes,0
US. NAVY,27.88136,-97.20922, TX,Yes,0
USAF,41.17277778,-95.82777778, IA,Unknown,0
USAF,47.64300785,-117.5561798, WA,Yes,0
USAF - 7TH CIVIL ENGINEEG,32.41742279,-99.84068492, TX,Yes,0
USAF - 7TH CIVIL ENGINEEG,32.419881,-99.841311, TX,Yes,0
USAF - 89TH CIVIL ENG SQD,38.81649063,-76.85523706, MD,Yes,0
USAF - ANDREWS AFB,38.8152,-76.8556665, MD,Yes,0
USAF - CANNON AFB,34.3990239,-103.3188565, NM,Yes,0
USAF - DYESS AFB,32.416135,-99.81984, TX,Yes,0
USAF - ELLSWORTH AFB,44.15014474,-103.0725993, SD,Yes,0
USAF - HILL AFB,41.1095302,-111.9967107, UT,Yes,0
USAF - IL ANG 182ND GROUP,40.6248188,-89.67905163, IL,Yes,0
USAF - KEESLER AFB,30.40465,-88.9145, MS,Yes,0
USAF - KELLY AFB,29.40006256,-98.590535, TX,Yes,0
USAF - MCCHORD AFB,47.12834,-122.49046, WA,Yes,0
USAF - MCCLELLAN AFB,38.6648837,-121.3869581, CA,Yes,0
USAF - MCCONNELL,37.632235,-97.25126, KS,Yes,0
USAF - MOODY AFB,30.972411,-83.211678, GA,Yes,0
USAF - MOODY AFB,30.973705,-83.20428, GA,Yes,0
USAF - PATRICK AFB,28.25325,-80.605989, FL,Yes,0
USAF - ROBINS AFB,32.59646,-83.58011, GA,Yes,0
USAF - VANCE AFB,36.39762,-97.87834, OK,Yes,0
USAF - WHITEMAN AFB,38.722325,-93.57297, MO,Yes,0
USAF - WRIGHT PATTERSON,39.8102259,-84.0373174, OH,Yes,0
USAF ACADEMY/CIVIL ENG,38.87375354,-104.854573, CO,Yes,0
USAF BASE HURLBURT FIELD,28.5660449,-81.68864879, FL,Yes,0
USAF EDWARDS AFB,34.92292,-117.8981, CA,Yes,0
USAF LANGLEY,37.079469,-76.3429185, VA,Yes,0
USAF- POPE AFB,35.093817,-79.031169,NC,Yes,0
USAF- POPE AFB,35.17128,-79.01042,NC,Yes,0
USAF RESERVE,43.1150795,-78.93893951, NY,Yes,0
USAF SHAW AIRFORCE BASE,33.99312,-80.49332, SC,No,0
USAF TINKER AFB,35.423104,-97.4187447, OK,Yes,0
USAF- WHITEMAN AFB,38.71595755,-93.56324618, MO,Yes,0
USAF-122 FIGHTER WING ANG,41.04803,-85.16811, IN,Yes,0
USAF-BARKSDALE AFB,32.51034,-93.68204, LA,Yes,0
USAF-BEALE AIR FORCE BASE,39.12506294,-121.3855865, CA,Yes,0
USAFB-MYRTLE BEACH,33.61048046,-78.97151214, SC,Yes,0
USAF-CANNON AFB,34.3928,-103.32808, NM,Yes,0
USAF-COLUMBUS AFB,33.59061618,-88.42602187, MS,Yes,0
USAF-DAVIS MONTHAN,32.19007,-110.87528, AZ,Yes,0
USAF-DYESS AFB,32.41742279,-99.84068492, TX,Yes,0
USAF-DYESS AFB,32.419881,-99.841311, TX,Yes,0
USAF-EARICKSON AFB,(blank),(blank), AK,Yes,0
USAF-EDWARDS AF BASE,34.923069,-117.899532, CA,Yes,0
USAF-EDWARDS AFB,34.92292,-117.8981, CA,Yes,0
USAF-ELLSWORTH AFB,44.08146,-103.2308, SD,Yes,0
USAF-ELLSWORTH AFB,44.14509444,-103.1035667, SD,Yes,0
USAF-ELLSWORTH AFB,44.15014474,-103.0725993, SD,Yes,0
USAF-ELLSWORTH AFB,44.150157,-103.072698, SD,Yes,0
USAF-ELSWOOD AIR FORCE BA,(blank),(blank), SD,Yes,0
USAF-FE WARREN AFB,41.14115,-104.82273, WY,Yes,0
USAF-HILL AFB,41.13952618,-112.0166824, UT,Yes,0
USAF-HOLLOMAN AFB,32.8355728,-106.0749086, NM,Yes,0
USAF-HOLLOMANN AFB,32.8355728,-106.0749086, NM,Yes,0
USAF-HURLBURT FIELD,30.4150168,-86.7035258, FL,Yes,0
USAF-KI SAWYER,41.88555,-86.59792, MI,Yes,0
USAF-KIRTLAND AFB,35.04872358,-106.5505117, NM,Yes,0
USAF-KIRTLAND AIRFORCE,35.04199,-106.60697, NM,Yes,0
USAF-LANGLEY A.F. BASE,37.08153318,-76.34747621, VA,Yes,0
USAF-LITTLE ROCK AFB,34.7487,-92.27485, AR,Yes,0
USAF-LITTLE ROCK AFB,34.90854938,-92.14114492, AR,Yes,0
USAF-LORING AFB,46.9340169,-67.9115832, ME,Yes,0
USAF-MAXWELL AFB,32.37679903,-86.35495376, AL,Yes,0
USAF-MAXWELL AFB,32.380115,-86.34818, AL,Yes,0
USAF-MCCONNELL AFB,37.632235,-97.25126, KS,Yes,0
USAF-MINOT AFB,48.4171178,-101.3226487, ND,Yes,0
USAF-MINOT AFB,48.418119,-101.321532, ND,Yes,0
USAF-MINOT AFB,48.42010089,-101.3510408, ND,Yes,0
USAF-MINOT AFB,48.42297358,-101.3235875, ND,Yes,0
USAF-MOODEY AFB,30.97156685,-83.21227565, GA,Yes,0
USAF-MOODEY BASE,30.97156685,-83.21227565, GA,Yes,0
USAF-MOODY AFB,30.97156685,-83.21227565, GA,Yes,0
USAF-MOODY AFB,30.972411,-83.211678, GA,Yes,0
USAF-NATIONAL GUARD,44.813592,-68.802921, ME,Yes,0
USAF-NIAGARA FALLS AIR RESERVE STATION,43.08352,-78.9656028, NY,No,0
USAF-NIAGARA FALLS AIR RESERVE STATION,43.11443039,-78.93528249, NY,No,0
USAF-OHARE AIR FORCE RESV,41.97981,-87.88204, IL,Yes,0
USA-FORT CARSON,38.712348,-104.7777705, CO,Yes,0
USAF-ROBINS AFB,32.59646,-83.58011, GA,Yes,0
USAF-WESTOVER ARB,42.1991561,-72.548338, MA,Yes,0
USAF-WHITEMAN AFB,38.71595755,-93.56324618, MO,Yes,0
USAF-WHITMAN AFB,38.722325,-93.57297, MO,Yes,0
USAF-WRIGHT PATTERSON AFB,39.8102259,-84.0373174, OH,Yes,0
USAF-WRIGHT PATTERSON AFB,39.81930979,-84.03777991, OH,Yes,0
USCG,43.65915,-70.25668, ME,Yes,0
USCG - CUTTER LEGARE,36.88073338,-76.35998166, VA,Yes,0
USCG - DISTRICT 7,32.85055556,-79.93888889, SC,Yes,0
USCG - USCGC HEALY,47.60357,-122.32945, WA,Yes,0
USCG C SEQUOIA WLB 215,13.40009,144.68933, GU,Yes,0
USCG CUTTER JAMES,32.856912,-79.9852815, SC,Yes,0
USCG CUTTER MARCUS HANNA,43.6442482,-70.24612691, ME,Yes,0
USCG POLAR STAR,38.09966963,-122.2704265, CA,No,0
USCG PORTSMOUTH,36.8644945,-76.3927752, VA,Yes,0
USCG SECTOR SAN DIEGO,32.718024,-117.194013, CA,No,0
USCG SUPTCEN NEW YORK,40.68865138,-74.01956088, NY,Yes,0
USCG YARD - SECTOR MD,39.201489,-76.571082, MD,Yes,0
USCG YARD - SECTOR MD,39.22489,-76.58842, MD,Yes,0
USCGC - ESCANABA,42.367563,-71.052606, MA,Yes,0
USCGC ACTIVE,48.1413924,-123.4415398, WA,Yes,0
USCGC ALDER,43.3992195,-89.54217, WI,Yes,0
USCGC ESCANABA,42.367563,-71.052606, MA,Yes,0
USCGC FORWARD,36.88073338,-76.35998166, VA,Yes,0
USCGC FORWARD,37.00111111,-76.14472222, VA,Yes,0
USCGC KATHERINE WALKER,40.66546512,-74.07636128, NJ,Yes,0
USCGC LEGARE,36.88073338,-76.35998166, VA,Yes,0
USCGC LEGARE,36.92487,-76.34355, VA,Yes,0
USCGC LEGARE (WMEC 912),36.88073338,-76.35998166, VA,Yes,0
USCGC MARCUS HANNA,43.6442482,-70.24612691, ME,Yes,0
USCGC MELLON,47.58894251,-122.3381377, WA,Yes,0
USCGC MIDGETT,21.30148648,-157.8704163, HI,Yes,0
USCGC MIDGETT,(blank),(blank), CA,Yes,0
USCGC MIDGETT 757,21.30944,-157.8725, HI,Yes,0
USCGC MOHAWK,24.56362352,-81.79846617, FL,Yes,0
USCGC SEAFOX,48.11872,-123.4313, WA,Yes,0
USCGC- SPAR,21.30493,-157.85788, HI,Yes,0
USCGC SPENCER WMEC 905,42.367563,-71.052606, MA,Yes,0
USCGC STEADFAST,39.201489,-76.571082, MD,Yes,0
USCGC TAHOMA,43.08372,-70.73967, ME,Unknown,0
USCGC TAHOMA,43.08372,-70.73967,,Yes,0
USCGC THETIS,24.5545,-81.80023, FL,Yes,0
USCGC WILLIAM TATE,39.3702,-76.06285, MD,Yes,0
USCG-STA LAKE WORTH INLET,26.84431729,-80.06424341, FL,Yes,0
USCG-USCGC POLAR SEA,47.992845,-122.213805, WA,Yes,0
USMC,33.3280554,-117.3064934, CA,Yes,0
USMC - AIRSTA BEAUFORT,32.4546454,-80.7029244, SC,Yes,0
USMC-CHERRY POINT,34.882731,-76.9100085,NC,Yes,0
USN,33.43024,-117.60698, CA,Yes,0
USN - COMMAND MAG42,36.95410274,-76.32159803, VA,No,0
USN - EMERGENCY COMM. CENTER,36.949285,-76.321935, VA,No,0
USN - EMERGENCY COMMUNICATION CENTER,36.94786158,-76.30932948, VA,Yes,0
USN - LITTLE CREEK,36.89086,-76.25864, VA,Yes,0
USN - NAS OCEANA,36.808655,-76.02751, VA,Yes,0
USN - NAS SOUTH WEYMOUTH,42.17268,-70.95402, MA,Yes,0
USN - NAWS POINT MUGU,34.111899,-119.10852, CA,Yes,0
USN - NAWS POINT MUGU,(blank),(blank), CA,Yes,0
USN - USS AMERICA,36.84686,-76.28514, VA,Yes,0
USN - USS BOXER,32.68451,-117.12546, CA,Yes,0
USN - USS CAYUGA,33.74978,-118.08887, CA,Yes,0
USN - USS CIMARRON,29.90897028,-90.15080746, LA,Yes,0
USN - USS DULUTH,37.9009,-122.3204, CA,Yes,0
USN - USS EMORY S. LAND,36.91630348,-76.25432665, VA,Yes,0
USN - USS GUNSTON HALL,36.85542164,-76.17167582, VA,No,0
USN - USS JOHN F. KENNEDY,42.84055847,-80.63438348, VA,Yes,0
USN - USS MONONGAHELA,36.74745268,-76.31898093, VA,Yes,0
USN - USS PORTLAND,36.89086,-76.25864, VA,Yes,0
USN - USS ROOSEVELT,36.84686,-76.28514, VA,Yes,0
USN - USS SEATTLE,36.83200323,-76.2895699, VA,Yes,0
USN - USS WILLIAM P. LAWRENCE,32.67955521,-117.1196948, CA,Yes,0
USN AIRSTATION,32.55053,-88.60929, MS,Yes,0
USN- AMPHIBIOUS BASE,36.82330126,-76.2763001, VA,Yes,0
USN DOHL,40.66509,-74.11817, NJ,Yes,0
USN -EMERGENCY COMM. CENTER,36.94786158,-76.30932948, VA,Yes,0
USN EMERGENCY COMMUNICATION CENTER,36.84686,-76.28514, VA,Yes,0
USN- NAS OCEANA,36.75531,-76.05968, VA,Yes,0
USN NAVAL AIR STATION AT,33.914844,-84.534939, GA,Yes,0
USN- NAVAL BASE VENTURA COUNTY,34.13638,-119.10134, CA,Yes,0
USNNCBC NAVAL CONSTRUCTION,(blank),(blank), CA,Yes,0
USN -NORFOLK,36.949285,-76.321935, VA,Yes,0
USN OCEANA DAM NECK ANNEX,36.80191619,-76.0049278, VA,Yes,0
USN- USNS WATSON,32.71568,-117.16171, CA,Yes,0
USN- USS ASHLAND,36.99035,-76.43336, VA,Yes,0
USN- USS BOXER,32.71568,-117.16171, CA,Yes,0
USN- USS CIMARRON,21.33466254,-157.9665588, HI,Yes,0
USN USS NIMITZ,32.69993,-117.18424, CA,Yes,0
USN USS NIMITZ,36.988362,-76.437018, VA,Yes,0
USN -USS SAIPAN,36.91630348,-76.25432665, VA,Yes,0
USN USS TORTUGA,38.2882,-77.3853, VA,Yes,0
USN- USS WHIDBEY ISLAND,34.72179,-76.71758,NC,Yes,0
USN VAW125,36.84686,-76.28514, VA,Yes,0
USN-COMMUNICATION CENTER,36.91630348,-76.25432665, VA,Yes,0
USN-COMMUNICATION CENTER,36.94476281,-76.29361897, VA,Yes,0
USN-COMMUNICATION CENTER,36.95340423,-76.32404444, VA,Yes,0
USN-COMNAV BASE,38.2882,-77.3853, VA,Yes,0
USN-COMNAVBASE NORFOLK,36.949285,-76.321935, VA,Yes,0
USN-INNGALLS SHIP YARD,30.354822,-88.52002221, MS,Yes,0
USN-NAB LITTLE CREEK,38.2882,-77.3853, VA,Yes,0
USN-NAS JACKSONVILLE,30.23136398,-81.69913985, FL,No,0
USN-NAS JACKSONVILLE,30.23136398,-81.69913985,,Unknown,0
USN-NAS JACKSONVILLE,30.23136398,-81.69913985,,Yes,0
USN-NAS NORTH ISLAND,32.698845,-117.2122659, CA,Yes,0
USN-NAS NORTH ISLAND,32.704991,-117.190282, CA,Yes,0
USN-NAS OCEANA,36.75531,-76.05968, VA,Yes,0
USN-NAS OCEANA,36.80191619,-76.0049278, VA,Yes,0
USN-NAS OCEANA,36.808655,-76.02751, VA,Yes,0
USN-NAVAL AIR STATION OCEANA,36.80202334,-76.04224277, VA,Yes,0
USN-NAVAL STATION EVERETT,47.992845,-122.213805, WA,Yes,0
USN-NAVAVNDEP ALAMEDA,37.763105,-122.23864, CA,Yes,0
USN-NORFOLK NAVAL SHIPYRD,36.80393365,-76.29880352, VA,Yes,0
USN-NORFOLK NAVAL SHIPYRD,36.83273,-76.29771, VA,Yes,0
USNS ALLEN SHEPARD,32.69115734,-117.1337429, CA,Yes,0
USNS ANDREW J HIGGINS,45.54380681,-122.6981086, OR,Yes,0
USNS BURLINGTON,36.83323327,-76.27239196, VA,Yes,0
USNS CARL BRASHEAR,45.51179,-122.67563, OR,Yes,0
USNS CHARLTON,36.96499705,-76.41881194, VA,Yes,0
USNS COMFORT,39.26133012,-76.55891126, MD,Yes,0
USNS SEAY,30.73472222,-77.48444444, FL,Yes,0
USNS SHASTA T-AE33,47.97659,-122.20596, WA,Yes,0
USNS YUKON,32.71568,-117.16171, CA,Yes,0
USN-USS ANTIETAM (CG 54),33.79632,-118.15142, CA,Yes,0
USN-USS ARTHUR W RADFORD,36.87227302,-76.23851521, VA,Yes,0
USN-USS BOLSTER,33.71957787,-118.3101955, CA,Yes,0
USN-USS BUNKER HILL,33.43024,-117.60698, CA,Yes,0
USN-USS CARNEY,36.2,-7.719166667, VA,Yes,0
USN-USS CHANCELLORSVILLE,32.58065263,-117.0216067, CA,Yes,0
USN-USS CHANCELLORSVILLE,37.9009,-122.3204, CA,Yes,0
USN-USS DENVER,32.79761648,-117.2038254, CA,Yes,0
USN-USS DWIGHT D EISENH.,36.87883878,-76.18969651, VA,Yes,0
USN-USS GEORGE WASHINGTON,36.84686,-76.28514, VA,Yes,0
USN-USS JOHN F KENNEDY,36.91630348,-76.25432665, VA,Yes,0
USN-USS JOHN F KENNEDY,36.943251,-76.311367, VA,Yes,0
USN-USS JOHN YOUNG,32.79761648,-117.2038254, CA,Yes,0
USN-USS KENNEDY,39.95222,-75.16218, PA,Yes,0
USN-USS MOUNT BAKER AE34,32.78115,-79.9316, SC,Yes,0
USN-USS MOUNT VERNON,32.79761648,-117.2038254, CA,Yes,0
USN-USS NASHVILLE LPD 13,36.83273,-76.29771, VA,Yes,0
USN-USS PONCE LPD 15,42.84175629,-80.30348748, VA,Yes,0
USN-USS PORTLAND,36.83002,-76.34458, VA,Yes,0
USN-USS PORTLAND,38.2882,-77.3853, VA,Yes,0
USN-USS PUGET SOUND,(blank),(blank), VA,Yes,0
USN-USS ROOSEVELT,36.84686,-76.28514, VA,Yes,0
USN-USS SAIPAN LHA2,36.83273,-76.29771, VA,Yes,0
USN-USS TAYLOR,32.78115,-79.9316, SC,Yes,0
USN-USS TORTUGA,38.2882,-77.3853, VA,Yes,0
USS - THEODORE ROOSEVELT,36.91630348,-76.25432665, VA,Yes,0
USS ABRAHAM LINCOLN,32.79761648,-117.2038254, CA,Yes,0
USS ARDENT,(blank),(blank), CA,Yes,0
USS ASHLAND,38.2882,-77.3853, VA,Yes,0
USS BAINBRIDGE,36.94513803,-76.30095542, VA,Yes,0
USS BATTAN,36.84686,-76.28514, VA,Yes,0
USS BENAAN,36.84686,-76.28514, VA,Yes,0
USS CAMBDEN,47.729805,-122.345854, WA,Yes,0
USS CARL VINSON,36.98829478,-76.43693265, VA,Yes,0
USS DULUTH,32.566597,-116.974296, CA,Yes,0
USS GEORGE W BUSH,36.949285,-76.321935, VA,Yes,0
USS GUAM,36.89114258,-76.2233265, VA,Yes,0
USS HEPBURN,33.10833333,-118.285, CA,Yes,0
USS HOWARD,32.41666667,-118.3666667, CA,Yes,0
USS JOHN C STENNIS,47.565,-122.62749, WA,Yes,0
USS JOHN C STENNIS(CVN 74,32.698845,-117.2122659, CA,Yes,0
USS JOHN F. KENNEDY,30.39299,-81.43081, FL,Yes,0
USS MACON ISLAND,32.70996,-117.2497, CA,Yes,0
USS MAKIN ISLAND,32.79761648,-117.2038254, CA,Yes,0
USS MOBILE (LCS-26),33.23004061,-117.3248743, CA,Yes,0
USS MOUNT WHITNEY,36.68361111,-75.48333333, VA,Yes,0
USS NASHVILLE LPD-13,42.84175629,-80.30348748, VA,Yes,0
USS OAKLAND LSC 24,32.71568,-117.16171, CA,Yes,0
USS O'BANNON,30.39299,-81.43081, FL,Yes,0
USS PEARL HARBOR,32.68474841,-117.1303926, CA,Yes,0
USS ROOSEVELT,36.81699599,-76.30515987, VA,Yes,0
USS SAI PAN,36.949285,-76.321935, VA,Yes,0
USS SAIPAN,36.949285,-76.321935, VA,Yes,0
USS SAN ANTONIO,(blank),(blank),NC,Yes,0
USS SAN GACINTO,36.84686,-76.28514, VA,Yes,0
USS SARATOGA,30.39299,-81.43081, FL,Yes,0
USS TRENTON,36.83781129,-76.28904497, VA,Yes,0
USS TRUMAN,36.949285,-76.321935, VA,Yes,0
USS TRUXTON,36.81056577,-76.28448001, VA,Yes,0
USS WASP (LHD1),36.85987271,-76.37052803, VA,Yes,0
USS WHIDBEY ISLAND,36.84686,-76.28514, VA,No,0
VENTURA FIRE DEPT,34.17499661,-119.2216361, CA,Yes,0
VIGOR MARINE,45.56130136,-122.7135895, OR,Yes,0
WA STATE DEPT OF TRANSPORTATION,47.59358562,-122.2878736, WA,Yes,0
WA. STATE FERRY OPS CENTER,47.99892485,-122.215201, WA,Yes,0
WAKO,37.54068,-77.43367, VA,Yes,0
WASTE MANAGEMENT,33.71967438,-112.3253735, AZ,Yes,0
WASTE MANAGEMENT OF ARIZONA,33.42479771,-111.9954789, AZ,No,0
WASTE TREATMENT PLANT,33.83410866,-84.47320459, GA,Unknown,0
WEIS FIRE EQUIPMENT,38.8562253,-97.60776592, KS,Yes,0
WESTERN STATE FIRE PROTECTION,33.428142,-112.3581575, AZ,Yes,0
WESTHAVEN FIRE DEPT,41.27228,-72.94998, CT,Yes,0
WICHITA FALLS MUNIC AIR,33.97275252,-98.51357231, TX,Yes,0
WILLOW GROVE NAVAL AIR STATION,40.143658,-75.04429848, PA,Yes,0
WILMINGTON FIRE DEPARTMENT,34.24349743,-77.86225454,NC,Yes,0
WIREGRASS CONSTRUCTION CO,31.26141809,-85.38380306, AL,No,0
WRIGHT PATTERSON AFB,39.8102259,-84.0373174, OH,Yes,0
WRIGHT PATTERSON AIR FORCE BASE,39.81113,-84.05731, OH,Yes,0
WRIGHT- PATTERSON AIR FORCE BASE,39.8102259,-84.0373174, OH,Yes,0
WRIGHT-PATTERSON AIR FORCE BASE,39.82767,-84.02354, OH,Yes,0
(blank),17.72513,-64.78417, VI,Yes,0
(blank),21.30493,-157.85788, HI,No,0
(blank),21.346467,-157.942293, HI,No,0
(blank),21.34840581,-157.9441034, HI,No,0
(blank),21.34840581,-157.9441034,,Yes,0
(blank),21.37589307,-157.9293236, HI,No,0
(blank),21.41028,-157.81611, HI,No,0
(blank),25.76888889,-80.19583333, FL,Yes,0
(blank),25.88,-80.14222222, FL,Yes,0
(blank),26.00358041,-80.12234445, FL,Yes,0
(blank),26.05226,-80.14473, FL,Yes,0
(blank),26.05785666,-80.13030676, FL,Yes,0
(blank),26.05944444,-80.135, FL,Yes,0
(blank),26.59064673,-80.05110691, FL,Yes,0
(blank),26.621973,-81.950751, FL,Yes,0
(blank),26.63206371,-82.11294707, FL,Yes,0
(blank),26.72646,-81.65341, FL,Yes,0
(blank),26.9281296,-80.08414846, FL,Yes,0
(blank),27.46718318,-80.32872145, FL,Unknown,0
(blank),27.49385073,-97.81473849, TX,No,0
(blank),27.4953207,-97.81869114, TX,No,0
(blank),27.52108949,-82.59233889, FL,Unknown,0
(blank),27.52108949,-82.59233889,,Yes,0
(blank),27.53283345,-82.609398, FL,Yes,0
(blank),27.87978779,-82.3135193, FL,Yes,0
(blank),28.49627172,-81.4434048, FL,Yes,0
(blank),29.29532,-94.80791, TX,Unknown,0
(blank),29.56522871,-95.05393701, TX,Yes,0
(blank),29.61333333,-94.96388889, TX,Yes,0
(blank),29.65599285,-95.2615067, TX,Yes,0
(blank),29.7228541,-95.27477732, TX,No,0
(blank),29.7228541,-95.27477732,,Yes,0
(blank),29.990907,-95.19333853, TX,Yes,0
(blank),30.0690814,-89.803005, LA,Yes,0
(blank),30.07955578,-89.79188911, LA,Yes,0
(blank),30.13519908,-93.31627881, LA,No,0
(blank),30.15248967,-81.63276626, FL,Yes,0
(blank),30.27791749,-87.7033845, AL,Yes,0
(blank),30.33147,-81.65622, FL,Yes,0
(blank),30.333825,-81.5214015, FL,No,0
(blank),30.35477063,-87.17485599, FL,Yes,0
(blank),30.36141813,-81.470351, FL,Yes,0
(blank),30.378635,-81.40808, FL,Yes,0
(blank),30.498561,-81.698193, FL,No,0
(blank),30.71481635,-88.04593485, AL,Unknown,0
(blank),31.165371,-81.4810095, GA,Yes,0
(blank),31.59080753,-102.9076376, TX,Unknown,0
